x = 5911.26, y = 4.881091e-03
x = 5921.17, y = 4.880373e-03
x = 5931.08, y = 4.879660e-03
x = 5940.99, y = 4.878951e-03
x = 5950.90, y = 4.878246e-03
x = 5960.81, y = 4.877545e-03
x = 5970.72, y = 4.876849e-03
x = 5980.63, y = 4.876156e-03
x = 5990.54, y = 4.875468e-03
x = 6000.45, y = 4.874794e-03
x = 6010.36, y = 4.874340e-03
x = 6020.27, y = 4.873892e-03
x = 6030.18, y = 4.873451e-03
x = 6040.09, y = 4.873017e-03
x = 6050.00, y = 4.872590e-03
x = 6059.91, y = 4.872170e-03
x = 6069.82, y = 4.871756e-03
x = 6079.73, y = 4.871349e-03
x = 6089.64, y = 4.870949e-03
x = 6099.55, y = 4.870555e-03
x = 6109.46, y = 4.870169e-03
x = 6119.37, y = 4.869789e-03
x = 6129.28, y = 4.869416e-03
x = 6139.19, y = 4.869049e-03
x = 6149.10, y = 4.868690e-03
x = 6159.01, y = 4.868337e-03
x = 6168.92, y = 4.867991e-03
x = 6178.83, y = 4.867652e-03
x = 6188.74, y = 4.867319e-03
x = 6198.65, y = 4.866993e-03
x = 6208.56, y = 4.866674e-03
x = 6218.47, y = 4.866362e-03
x = 6228.38, y = 4.866057e-03
x = 6238.29, y = 4.865758e-03
x = 6248.20, y = 4.865466e-03
x = 6258.11, y = 4.865181e-03
x = 6268.02, y = 4.864902e-03
x = 6277.93, y = 4.864631e-03
x = 6287.84, y = 4.864366e-03
x = 6297.75, y = 4.864108e-03
x = 6307.66, y = 4.863856e-03
x = 6317.57, y = 4.863612e-03
x = 6327.48, y = 4.863374e-03
x = 6337.39, y = 4.863143e-03
x = 6347.30, y = 4.862919e-03
x = 6357.21, y = 4.862701e-03
x = 6367.12, y = 4.862490e-03
x = 6377.03, y = 4.862286e-03
x = 6386.94, y = 4.862089e-03
x = 6396.85, y = 4.861898e-03
x = 6406.76, y = 4.861715e-03
x = 6416.67, y = 4.861538e-03
x = 6426.58, y = 4.861368e-03
x = 6436.49, y = 4.861204e-03
x = 6446.40, y = 4.861047e-03
x = 6456.31, y = 4.860898e-03
x = 6466.22, y = 4.860754e-03
x = 6476.13, y = 4.860618e-03
x = 6486.04, y = 4.860488e-03
x = 6495.95, y = 4.860366e-03
x = 6505.86, y = 4.860249e-03
x = 6515.77, y = 4.860140e-03
x = 6525.68, y = 4.860038e-03
x = 6535.59, y = 4.859942e-03
x = 6545.50, y = 4.859853e-03
x = 6555.41, y = 4.859770e-03
x = 6565.32, y = 4.859695e-03
x = 6575.23, y = 4.859626e-03
x = 6585.14, y = 4.859564e-03
x = 6595.05, y = 4.859509e-03
x = 6604.95, y = 4.859461e-03
x = 6614.86, y = 4.859419e-03
x = 6624.77, y = 4.859384e-03
x = 6634.68, y = 4.859356e-03
x = 6644.59, y = 4.859334e-03
x = 6654.50, y = 4.859320e-03
x = 6664.41, y = 4.859312e-03
x = 6674.32, y = 4.859311e-03
x = 6684.23, y = 4.859316e-03
x = 6694.14, y = 4.859329e-03
x = 6704.05, y = 4.859348e-03
x = 6713.96, y = 4.859374e-03
x = 6723.87, y = 4.859407e-03
x = 6733.78, y = 4.859446e-03
x = 6743.69, y = 4.859492e-03
x = 6753.60, y = 4.859545e-03
x = 6763.51, y = 4.859605e-03
x = 6773.42, y = 4.859672e-03
x = 6783.33, y = 4.859745e-03
x = 6793.24, y = 4.859825e-03
x = 6803.15, y = 4.859912e-03
x = 6813.06, y = 4.860005e-03
x = 6822.97, y = 4.860106e-03
x = 6832.88, y = 4.860213e-03
x = 6842.79, y = 4.860327e-03
x = 6852.70, y = 4.860447e-03
x = 6862.61, y = 4.860575e-03
x = 6872.52, y = 4.860709e-03
x = 6882.43, y = 4.860850e-03
x = 6892.34, y = 4.860997e-03
x = 6902.25, y = 4.861152e-03
x = 6912.16, y = 4.861313e-03
x = 6922.07, y = 4.861481e-03
x = 6931.98, y = 4.861656e-03
x = 6941.89, y = 4.861837e-03
x = 6951.80, y = 4.862026e-03
x = 6961.71, y = 4.862221e-03
x = 6971.62, y = 4.862422e-03
x = 6981.53, y = 4.862631e-03
x = 6991.44, y = 4.862846e-03
x = 7001.35, y = 4.863065e-03
x = 7011.26, y = 4.863265e-03
x = 7021.17, y = 4.863470e-03
x = 7031.08, y = 4.863682e-03
x = 7040.99, y = 4.863898e-03
x = 7050.90, y = 4.864120e-03
x = 7060.81, y = 4.864348e-03
